,,start-end time,,,SHIP'S HEADING ,SPEED THROUGH THE WATER(LONGITUDINAL) ,SPEED THROUGH THE WATER(TRANSVERSE) ,UTC TIME ,WATER DEPTH ,RUDDER ANGLE ,TRUE WIND SPEED knots,TRUE WIND DIRECTION degrees,RELATIVE WIND DIRECTION ,RELATIVE WIND SPEED ,COURSE OVER GROUND ,SPEED OVER GROUND ,LATITUDE ,NS ,LONGITUDE ,EW ,M/E FO COUNTER FOR NOON LOG L,M/E SHAFT RPM RPM,M/E SHAFT POWER X100KW,M/E F O IN T ?C,SHIP SPEED KT,M/E LOAD INDEX %,MAIN C S W PUMP DISCH T ?C,E/R SPACE NEAR NO.2 T/C T ?C,M/E FO COUNTER FOR NOON LOG L,BLR FO COUNTER FOR NOON LOG L,D/E FO COUNTER FOR NOON LOG L,D/E DO COUNTER FOR NOON LOG L,CYL OIL COUNTER FOR NOON LOG L,BLR FEED W COUNT FOR NOON LOG L,NO.1 G/E RUNHOUR X0.1HOUR,NO.2 G/E RUNHOUR X0.1HOUR,NO.3 G/E RUNHOUR X0.1HOUR,NO.4 G/E RUNHOUR X0.1HOUR,NO.1 MAIN AIR COMP RUNHOUR X0.1HOUR,NO.2 MAIN AIR COMP RUNHOUR X0.1HOUR,NO.3 MAIN AIR COMP RUNHOUR X0.1HOUR,NO.4 MAIN AIR COMP RUNHOUR X0.1HOUR,AUX BOILER RUNHOUR X0.1HOUR,BOWTHRUSTER RUNHOUR X0.1HOUR,M/E NO.1 CYL EXH G OUT T ?C,M/E NO.2 CYL EXH G OUT T ?C,M/E NO.3 CYL EXH G OUT T ?C,M/E NO.4 CYL EXH G OUT T ?C,M/E NO.5 CYL EXH G OUT T ?C,M/E NO.6 CYL EXH G OUT T ?C,M/E NO.7 CYL EXH G OUT T ?C,M/E NO.8 CYL EXH G OUT T ?C,M/E NO.9 CYL EXH G OUT T ?C,M/E NO.10 CYL EXH G OUT T ?C,M/E NO.11 CYL EXH G OUT T ?C,M/E CYL EXH G AVERAGE T ?C,M/E NO.1 T/C EXH G IN T ?C,M/E NO.2 T/C EXH G IN T ?C,M/E NO.3 T/C EXH G IN T ?C,M/E NO.1 T/C EXH G OUT T ?C,M/E NO.2 T/C EXH G OUT T ?C,M/E NO.3 T/C EXH G OUT T ?C,M/E JACKET C F W IN P MPA,M/E NO.1 JACKET C F W OUT T ?C,M/E NO.2 JACKET C F W OUT T ?C,M/E NO.3 JACKET C F W OUT T ?C,M/E NO.4 JACKET C F W OUT T ?C,M/E NO.5 JACKET C F W OUT T ?C,M/E NO.6 JACKET C F W OUT T ?C,M/E NO.7 JACKET C F W OUT T ?C,M/E NO.8 JACKET C F W OUT T ?C,M/E NO.9 JACKET C F W OUT T ?C,M/E NO.10 JACKET C F W OUT T ?C,M/E NO.11 JACKET C F W OUT T ?C,M/E NO.1 PISTON C O OUT T ?C,M/E NO.2 PISTON C O OUT T ?C,M/E NO.3 PISTON C O OUT T ?C,M/E NO.4 PISTON C O OUT T ?C,M/E NO.5 PISTON C O OUT T ?C,M/E NO.6 PISTON C O OUT T ?C,M/E NO.7 PISTON C O OUT T ?C,M/E NO.8 PISTON C O OUT T ?C,M/E NO.9 PISTON C O OUT T ?C,M/E NO.10 PISTON C O OUT T ?C,M/E NO.11 PISTON C O OUT T ?C,M/E NO.1 SCAV AIR IN T ?C,M/E NO.2 SCAV AIR IN T ?C,M/E NO.3 SCAV AIR IN T ?C,M/E NO.4 SCAV AIR IN T ?C,M/E NO.5 SCAV AIR IN T ?C,M/E NO.6 SCAV AIR IN T ?C,M/E NO.7 SCAV AIR IN T ?C,M/E NO.8 SCAV AIR IN T ?C,M/E NO.9 SCAV AIR IN T ?C,M/E NO.10 SCAV AIR IN T ?C,M/E NO.11 SCAV AIR IN T ?C,M/E SCAV AIR P MPA,M/E NO.1 T/C RPM PICK-UP X100RPM,M/E NO.2 T/C RPM PICK-UP X100RPM,M/E NO.3 T/C RPM PICK-UP X100RPM,M/E SCAV AIR IN RECEIVER T ?C,M/E NO.1 AIR CLR C W OUT T ?C,M/E NO.2 AIR CLR C W OUT T ?C,M/E NO.3 AIR CLR C W OUT T ?C,M/E F O IN T ?C,NO.5 US H F O TK(P) T ?C,NO.5 US H F O TK(P) L M,NO.5 US H F O TK(S) T ?C,NO.5 US H F O TK(S) L M,NO.6 US H F O TK(P) T ?C,NO.6 US H F O TK(P) L M,NO.6 US H F O TK(S) T ?C,NO.6 US H F O TK(S) L M,NO.7 S H F O TK(P) T ?C,NO.7 S H F O TK(P) L M,NO.7 S H F O TK(S) T ?C,NO.7 S H F O TK(S) L M,NO.8 S H F O TK(S) T ?C,NO.8 S H F O TK(S) L M,NO.8 S H F O TK(P) T ?C,NO.8 S H F O TK(P) L M,E/R DB H F O TK T ?C,E/R DB H F O TK L M,M/E L O IN P MPA,M/E L O IN T ?C,M/E THRUST PAD T ?C,M/E NO.1 T/C L O IN P MPA,M/E NO.2 T/C L O IN P MPA,M/E NO.3 T/C L O IN P MPA,M/E NO.1 T/C L O OUT T ?C,M/E NO.2 T/C L O OUT T ?C,M/E NO.3 T/C L O OUT T ?C,MAIN L O SUMP TK L M,STERN TUBE BRG(FWD) T ?C,STERN TUBE BRG(AFT) T ?C,NO.1 INTER SHAFT BRG T ?C,NO.2 INTER SHAFT BRG T ?C,ME NO.1 CYL LINER EXH SIDE T ?C,ME NO.1 CYL LINER FORE SIDE T ?C,ME NO.1 CYL LINER MAN SIDE T ?C,ME NO.1 CYL LINER AFTR SIDE T ?C,ME NO.2 CYL LINER EXH SIDE T ?C,ME NO.2 CYL LINER FORE SIDE T ?C,ME NO.2 CYL LINER MAN SIDE T ?C,ME NO.2 CYL LINER AFTR SIDE T ?C,ME NO.3 CYL LINER EXH SIDE T ?C,ME NO.3 CYL LINER FORE SIDE T ?C,ME NO.3 CYL LINER MAN SIDE T ?C,ME NO.3 CYL LINER AFTR SIDE T ?C,ME NO.4 CYL LINER EXH SIDE T ?C,ME NO.4 CYL LINER FORE SIDE T ?C,ME NO.4 CYL LINER MAN SIDE T ?C,ME NO.4 CYL LINER AFTR SIDE T ?C,ME NO.5 CYL LINER EXH SIDE T ?C,ME NO.5 CYL LINER FORE SIDE T ?C,ME NO.5 CYL LINER MAN SIDE T ?C,ME NO.5 CYL LINER AFTR SIDE T ?C,ME NO.6 CYL LINER EXH SIDE T ?C,ME NO.6 CYL LINER FORE SIDE T ?C,ME NO.6 CYL LINER MAN SIDE T ?C,ME NO.6 CYL LINER AFTR SIDE T ?C,ME NO.7 CYL LINER EXH SIDE T ?C,ME NO.7 CYL LINER FORE SIDE T ?C,ME NO.7 CYL LINER MAN SIDE T ?C,ME NO.7 CYL LINER AFTR SIDE T ?C,ME NO.8 CYL LINER EXH SIDE T ?C,ME NO.8 CYL LINER FORE SIDE T ?C,ME NO.8 CYL LINER MAN SIDE T ?C,ME NO.8 CYL LINER AFTR SIDE T ?C,ME NO.9 CYL LINER EXH SIDE T ?C,ME NO.9 CYL LINER FORE SIDE T ?C,ME NO.9 CYL LINER MAN SIDE T ?C,ME NO.9 CYL LINER AFTR SIDE T ?C,ME NO.10 CYL LINER EXH SIDE T ?C,ME NO.10 CYL LINER FORE SIDE T ?C,ME NO.10 CYL LINER MAN SIDE T ?C,ME NO.10 CYL LINER AFTR SIDE T ?C,ME NO.11 CYL LINER EXH SIDE T ?C,ME NO.11 CYL LINER FORE SIDE T ?C,ME NO.11 CYL LINER MAN SIDE T ?C,ME NO.11 CYL LINER AFTR SIDE T ?C,M/E CYL LINER AVERAGE T ?C,ME NO.1 CYL LINER AVERA DEV T ?C,ME NO.2 CYL LINER AVERA DEV T ?C,ME NO.3 CYL LINER AVERA DEV T ?C,ME NO.4 CYL LINER AVERA DEV T ?C,ME NO.5 CYL LINER AVERA DEV T ?C,ME NO.6 CYL LINER AVERA DEV T ?C,ME NO.7 CYL LINER AVERA DEV T ?C,ME NO.8 CYL LINER AVERA DEV T ?C,ME NO.9 CYL LINER AVERA DEV T ?C,ME NO.10 CYL LINER AVERA DEV T ?C,ME NO.11 CYL LINER AVERA DEV T ?C,MAIN C S W PUMP DISC P MPA,NO.1 MAIN AIR RESERVIOR P MPA,NO.2 MAIN AIR RESERVIOR P MPA,M/E CONT AIR LINE P MPA,AUX BOILER STEAM DRUM P MPA,AUX BOILER STEAM DRUM L mm,NO.1 GEN LOAD KW,NO.1 G/E EXH G T/C IN(UPPER) T ?C,NO.1 G/E EXH G T/C IN(LOWER) T ?C,NO.1 G/E EXH G T/C OUT T ?C,NO.2 GEN LOAD KW,NO.2 G/E EXH G T/C IN(UPPER) T ?C,NO.2 G/E EXH G T/C IN(LOWER) T ?C,NO.2 G/E EXH G T/C OUT T ?C,NO.3 GEN LOAD KW,NO.3 G/E EXH G T/C IN(UPPER) T ?C,NO.3 G/E EXH G T/C IN(LOWER) T ?C,NO.3 G/E EXH G T/C OUT T ?C,NO.4 GEN LOAD KW,NO.4 G/E EXH G T/C IN(UPPER) T ?C,NO.4 G/E EXH G T/C IN(LOWER) T ?C,NO.4 G/E EXH G T/C OUT T ?C,NO.1 AUX BLOWER ,NO.2 AUX BLOWER ,NO.3 AUX BLOWER ,NO.4 AUX BLOWER ,NO.1 CENTRAL C F W PUMP ,NO.2 CENTRAL C F W PUMP ,NO.3 CENTRAL C F W PUMP ,NO.1 H F O PURIFIER ,NO.2 H F O PURIFIER ,NO.3 H F O PURIFIER ,NO.4 H F O PURIFIER ,M D O PURIFIER ,NO.1 H F O PURI SUPPLY PUMP ,NO.2 H F O PURI SUPPLY PUMP ,NO.3 H F O PURI SUPPLY PUMP ,NO.4 H F O PURI SUPPLY PUMP ,NO.1 MAIN L O PUMP ,NO.2 MAIN L O PUMP ,NO.1 MAIN L O PURI SUPPLY PUMP ,NO.2 MAIN L O PURI SUPPLY PUMP ,NO.1 MAIN L O PURIFIER ,NO.2 MAIN L O PURIFIER ,NO.1 MAIN C S W PUMP ,NO.2 MAIN C S W PUMP ,NO.3 MAIN C S W PUMP ,NO.1 MAIN AIR COMPRESSOR ,NO.2 MAIN AIR COMPRESSOR ,NO.3 MAIN AIR COMPRESSOR ,NO.4 MAIN AIR COMPRESSOR ,AUX BOILER RUN ,M/E F O VISCOSITY(HIGH) ,H F O SETT TK T ,H F O SERV TK T ,LS H F O SETT TK T ,LS H F O SERV TK T 
ShipData,4,2026-07-08T06:07:47Z,,,233.8,16.83,0.11,60743, ,2.4,23.38066502,92.2440406,252,14.5,236.1,14.4,2428.5316,N,7958.1152,W,72842757,65.2,11900,111,16.94,34,33,43,72842757,0,0,0,17683413,0,52586.4,47813.5,48764.2,41380.1,6063.5,9653.5,13955.7,13114.3,53616.4,2918,295,235,234,278,299,284,268,241,252,288,232,264,332,360,326,297,174,289,0.338,80,79,80,80,80,82,81,79,81,81,80,45,49,49,51,52,51,50,50,48,47,45,53,52,53,55,56,57,58,50,53,55,51,0.026,3600,0,3600,44,38,36,38,111,30.8,7.986,41.9,7.87,53,1.93,48,1.943,28.8,4.388,28.3,4.235,29,8.853,28.9,8.771,34,0.43,0.294,39,40,0.195,0.048,0.182,50,42,51,0.78,39,46,47,46,101.1,108.9,107.1,99.6,98.6,102.2,99.8,95.3,94.4,99.2,104.4,96,104.1,104.2,110.5,104,105.2,106.2,108,102.9,105.9,109.2,107.7,111.2,102.1,104.5,109.7,106.4,108.4,101.2,93.6,97,106.2,102.2,94.3,96.2,106.3,109.5,103.7,106.6,92.5,96.5,98.3,95.6,102.6,104.2,99,98.5,105.7,105.6,108.5,105.7,100.1,99.7,106.5,95.8,0.179,2.45,2.35,0.67,0.45,0,978,506,470,422,0,47,38,39,970,506,528,486,0,49,45,45,Normal,Normal,Normal,Normal,Stop,Running,Running,Normal,Normal,Normal,Normal,Normal,Stop,Stop,Stop,Stop,Running,Stop,Stop,Stop,Normal,Normal,Running,Stop,Stop,Stop,Running,Stop,Stop,Stop,12,68,48,89,91
ShipData,4,2026-07-08T06:07:48Z,,,233.8,16.83,0.1,60744, ,2.4,20.43550831,101.2982545,270,14.5,236.1,14.4,2428.5294,N,7958.1188,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:49Z,,,233.8,16.83,0.09,60745, ,2.4,19.59179886,102.8362909,273.9,14.3,236.1,14.4,2428.5271,N,7958.1224,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:50Z,,,233.8,16.82,0.08,60746, ,2.4,15.37966457,115.1488774,296.2,14.7,236.1,14.4,2428.5249,N,7958.1262,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:51Z,,,233.8,16.82,0.08,60747, ,2.5,13.25248205,118.1165069,305,14.3,236,14.4,2428.5226,N,7958.1297,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:52Z,,,233.7,16.82,0.08,60748, ,2.6,13.25248205,118.1165069,286.2,14.1,236,14.4,2428.5204,N,7958.1335,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:53Z,,,233.7,16.83,0.11,60749, ,2.6,16.61250965,109.5091917,288.7,14.1,236,14.4,2428.5181,N,7958.1371,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:54Z,,,233.7,16.83,0.11,60750, ,2.6,16.61250965,109.5091917,292.9,14.7,236,14.4,2428.5159,N,7958.1407,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,21,7.928,21.3,7.748,21.5,8.346,22.4,8.332,22,0.215,22.2,0.23,22.1,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.4,39.3,40.1,39.8,39.5,41.1,40.1,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,40,39.5,39.3,39.8,39.8,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.5,38.7,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.5,39.6,39.5,40.1,39.7,39.6,39.8,39.6,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,420,391,364,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:55Z,,,233.7,16.83,0.1,60751, ,2.4,16.64863397,116.1333726,293,15.7,235.9,14.4,2428.5136,N,7958.1443,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,20.8,7.929,21.3,7.748,21.5,8.345,22.2,8.331,21.9,0.217,22.2,0.23,22.2,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.5,39.2,40.1,39.9,39.6,41.1,40,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,39.9,39.5,39.3,39.9,39.9,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.4,38.8,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.4,39.6,39.5,40.2,39.7,39.6,39.8,39.7,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,421,390,362,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
ShipData,4,2026-07-08T06:07:56Z,,,233.7,16.84,0.09,60752, ,2.6,17.10691099,117.5018077,292.6,16.3,235.9,14.4,2428.5113,N,7958.1479,W,72842757,0.4,0,28,15,0,27,33,72842757,0,0,0,17601628,0,51979.5,47813.5,48674.4,40994.3,6043,9626.9,13691.3,12997.5,53373.9,2896.8,33,28,30,18,32,37,31,33,32,32,31,31,23,24,25,19,21,23,0.294,41,41,41,43,42,42,42,41,42,42,42,25,30,30,31,32,31,30,31,27,26,25,30,31,31,31,30,31,32,30,31,30,30,-0.001,0,0,0,31,34,45,33,28,20.8,7.929,21.3,7.748,21.5,8.345,22.2,8.331,21.9,0.217,22.2,0.23,22.2,5.384,22,5.698,22,0.43,-0.002,24,18,0.011,0.047,0.01,32,32,32,1.34,26,33,38,37,39.7,39.7,39.5,39.2,40.1,39.9,39.6,41.1,40,40.1,39.6,39.1,40.1,39.8,39.5,39.2,40.4,39.9,39.5,39.3,39.9,39.9,39.4,39.5,38.8,38.6,38.3,39.3,40.2,40,39.6,39.3,38.4,38.8,38.4,39.1,40.1,39.9,39.7,39.3,40.2,40.2,39.6,39.4,39.6,39.5,40.2,39.7,39.6,39.8,39.7,38.8,39.8,38.7,39.8,39.9,-0.017,2.6,2.48,0,-0.25,-505,0,28,28,26,0,30,26,26,0,36,37,32,421,390,362,373,Normal,Normal,Normal,Normal,Stop,Stop,Running,Normal,Normal,Normal,Normal,Abnormal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Normal,Normal,Stop,Stop,Stop,Stop,Stop,Stop,Stop,Stop,11.7,23,24,24,24
